category,district,constituency,candidate_name,party,votes,total_votes,share_votes,unopposed
Directly Elected MP,ABIM,LABWOR COUNTY,OCHERO JIMBRICKY NOMAN,NRM,14738,23995,0.614211321,0
Directly Elected MP,ABIM,LABWOR COUNTY,AYEPA MICHAEL,INDEPENDENT,8466,23995,0.352823496,0
Directly Elected MP,ABIM,LABWOR COUNTY,OKELLO PETER CROMWELL,INDEPENDENT,791,23995,0.032965202,0
Directly Elected MP,ADJUMANI,ADJUMANI EAST COUNTY,MAMAWI JAMES,NRM,12014,25787,0.465893656,0
Directly Elected MP,ADJUMANI,ADJUMANI EAST COUNTY,ANGEL DULU MARK,INDEPENDENT,10728,25787,0.416023582,0
Directly Elected MP,ADJUMANI,ADJUMANI EAST COUNTY,LANGI PETER,INDEPENDENT,1722,25787,0.066777833,0
Directly Elected MP,ADJUMANI,ADJUMANI EAST COUNTY,ANYAMA DANIEL,INDEPENDENT,933,25787,0.036181021,0
Directly Elected MP,ADJUMANI,ADJUMANI EAST COUNTY,ADRAWA LAWRENCE DULU,FDC,390,25787,0.0151239,0
Directly Elected MP,ADJUMANI,ADJUMANI WEST COUNTY,ALI MOSES,NRM,10227,21838,0.468312114,0
Directly Elected MP,ADJUMANI,ADJUMANI WEST COUNTY,TANDRUPASI PATRICK,FDC,6891,21838,0.315550864,0
Directly Elected MP,ADJUMANI,ADJUMANI WEST COUNTY,ADRAWA SANTOS GABRIEL,INDEPENDENT,1836,21838,0.084073633,0
Directly Elected MP,ADJUMANI,ADJUMANI WEST COUNTY,ASUSI DOMINIC ANDAMA,INDEPENDENT,1145,21838,0.052431542,0
Directly Elected MP,ADJUMANI,ADJUMANI WEST COUNTY,IRAMA TOLU PHILIP,INDEPENDENT,934,21838,0.042769484,0
Directly Elected MP,ADJUMANI,ADJUMANI WEST COUNTY,AJIRIKA DRASIKU HENRY,INDEPENDENT,603,21838,0.027612418,0
Directly Elected MP,ADJUMANI,ADJUMANI WEST COUNTY,DRAGA GASPER,INDEPENDENT,202,21838,0.009249931,0
Directly Elected MP,AGAGO,AGAGO WEST COUNTY,ANYWAR RICKY RICHARD,NRM,9892,15663,0.631552041,0
Directly Elected MP,AGAGO,AGAGO WEST COUNTY,ODIDA PATRICK,INDEPENDENT,4954,15663,0.316286802,0
Directly Elected MP,AGAGO,AGAGO WEST COUNTY,OYAKA DICKENS,INDEPENDENT,745,15663,0.047564324,0
Directly Elected MP,AGAGO,AGAGO WEST COUNTY,OCHAN BENSON,NUP,72,15663,0.004596821,0
Directly Elected MP,AGAGO,AGAGO COUNTY,LAGEN DAVID,NRM,9396,23723,0.396071315,0
Directly Elected MP,AGAGO,AGAGO COUNTY,OTTO EDWARD MAKMOT,INDEPENDENT,8789,23723,0.370484352,0
Directly Elected MP,AGAGO,AGAGO COUNTY,KOMAKECH CHARLES TOO- ODERA,INDEPENDENT,2846,23723,0.119967967,0
Directly Elected MP,AGAGO,AGAGO COUNTY,OKWIR BELLY SAM OJARA,INDEPENDENT,2692,23723,0.113476373,0
Directly Elected MP,AGAGO,AGAGO NORTH COUNTY,OKOT JOHN AMOS,NRM,7943,26134,0.303933561,0
Directly Elected MP,AGAGO,AGAGO NORTH COUNTY,OKETTA WALTER OGWANG,INDEPENDENT,6551,26134,0.250669628,0
Directly Elected MP,AGAGO,AGAGO NORTH COUNTY,OJERA JACKSON ABUSU,INDEPENDENT,4922,26134,0.188337028,0
Directly Elected MP,AGAGO,AGAGO NORTH COUNTY,OGENGA LATIGO MORRIS WODAMIDA,INDEPENDENT,4286,26134,0.164000914,0
Directly Elected MP,AGAGO,AGAGO NORTH COUNTY,OPOKA KENNETH GEOFFREY,FDC,1782,26134,0.068187036,0
Directly Elected MP,AGAGO,AGAGO NORTH COUNTY,OPIO KENNETH OYO,INDEPENDENT,650,26134,0.024871815,0
Directly Elected MP,ALEBTONG,AJURI COUNTY,OBUA DENIS HAMSON,NRM,11796,34422,0.342687815,0
Directly Elected MP,ALEBTONG,AJURI COUNTY,ONGOM EMMANUEL OKWEL,FDC,10612,34422,0.308291197,0
Directly Elected MP,ALEBTONG,AJURI COUNTY,OKWIR ISAAC,INDEPENDENT,5859,34422,0.170210913,0
Directly Elected MP,ALEBTONG,AJURI COUNTY,ONYOK HOWARD,UPC,3933,34422,0.114258327,0
Directly Elected MP,ALEBTONG,AJURI COUNTY,APENYO ISAAC,INDEPENDENT,2222,34422,0.064551741,0
Directly Elected MP,ALEBTONG,MOROTO COUNTY,OKWIR SAMUEL,NRM,17703,32590,0.543203413,0
Directly Elected MP,ALEBTONG,MOROTO COUNTY,OLANG PATRICK,INDEPENDENT,9874,32590,0.30297637,0
Directly Elected MP,ALEBTONG,MOROTO COUNTY,OBOTE KENNEDY OJUKA,UPC,2644,32590,0.081129178,0
Directly Elected MP,ALEBTONG,MOROTO COUNTY,OPIO DENIS,INDEPENDENT,1801,32590,0.05526235,0
Directly Elected MP,ALEBTONG,MOROTO COUNTY,OKOT FREDRICK NAURIES,FDC,343,32590,0.0105247,0
Directly Elected MP,ALEBTONG,MOROTO COUNTY,OJEDE ZIEGLER BOBSON,INDEPENDENT,225,32590,0.006903958,0
Directly Elected MP,AMOLATAR,KIOGA COUNTY,OKOT MOSES JUNIOR,FDC,8537,23013,0.370964229,0
Directly Elected MP,AMOLATAR,KIOGA COUNTY,OKELLO ANTHONY,NRM,6927,23013,0.301003784,0
Directly Elected MP,AMOLATAR,KIOGA COUNTY,ADUPA ONGWECH FELIX,INDEPENDENT,5691,23013,0.247295007,0
Directly Elected MP,AMOLATAR,KIOGA COUNTY,OTAKA GEORGE,INDEPENDENT,1259,23013,0.054708209,0
Directly Elected MP,AMOLATAR,KIOGA COUNTY,ANGOLE JOSEPH,INDEPENDENT,489,23013,0.021248858,0
